x y z
8 457.847 86.3524
16 228.264 76.8913
24 178.663 71.2616
32 152.485 89.9527
40 105.839 69.0192
48 104.553 76.0299
56 88.031 69.9072
64 57.259 81.9163
72 62.794 83.1533
80 65.091 72.6049
88 43.063 69.2766
96 44.926 64.0429
104 69.977 66.8225
112 40.49 66.3607
120 41.531 71.9883
128 54.274 92.6231
136 31.696 77.7927
144 29.027 73.8343
152 44.991 112.851
160 30.746 74.2145
168 19.285 64.7601
176 36.25 60.704
184 17.442 63.3926
192 20.241 66.5243
200 19.214 71.0897
208 18.594 72.825
216 21.126 78.1091
224 22.698 84.5765
232 27.212 62.6486
240 19.281 69.775
248 18.364 72.0207
256 24.481 69.2657
264 14.322 68.5136
272 14.345 76.8964
280 14.404 72.2626
288 16.704 74.0609
296 25.503 85.1164
304 14.524 71.0786
312 18.283 69.4476
320 14.349 66.0617
328 13.674 77.0346
336 15.173 75.0873
344 15.158 71.4947
352 11.608 68.2261
360 22.707 84.0754
368 11.719 67.6385
376 10.759 65.6391
384 11.442 63.9809
392 14.769 60.8793
400 11.613 56.6381
408 12.713 71.5852
416 12.122 56.8581
424 14.743 61.2896
432 20.372 103.133
440 11.888 62.3842
448 14.095 68.9652
456 11.734 54.089
464 10.818 72.4655
472 10.767 65.2057
480 10.809 63.2924
488 17.412 67.9423
496 12.734 62.4352
504 10.419 67.316
512 17.852 97.0286
