num threads, time, space
8, 347599, 540982
16, 134209, 81535943
24, 157170, 84760298
32, 84667, 80166981
40
48, 47349, 82612478
56, 31227, 77192785
64, 20228, 70354109
72, 18110, 88797268
80, 16133, 92892796
88, 13569, 84314291
96, 12837, 91934508
104, 10072, 88811415
112, 14695, 81355988
120, 13728, 67208476
128, 11474, 78443781
136, 13158, 83408590
144, 10141, 81770505
152, 10412, 78708827
160, 12511, 86421864
168, 8336, 63566885
176, 9727, 75425562
184, 6868, 71412130
192, 8521, 68795687
200, 7341, 74517418
208, 6316, 70965457
216, 6126, 79477692
224, 5312, 69520359
232, 4589, 60041477
240, 5321, 55966346
248, 9407, 73499375
256, 6351, 73105601
264, 4720, 84638199
272, 4317, 84944300
280, 4590, 81147588
288, 3462, 85115875
296, 3734, 77271754
304, 5013, 69823197
312, 4132, 83047632
320, 3723, 84985333
328, 3757, 78232479
336, 4138, 77172798
344, 4682, 68598445
352, 3603, 94996104
360, 5298, 24882976
368, 3849, 23435282
376, 4472, 21321228
384, 4397, 28924962
392, 3555, 84830974
400, 3807, 92455536
408, 3305, 95839831
416, 3060, 101302054
424, 3410, 86441433
432, 2855, 96472200
440, 3674, 85958326
448, 3184, 96350496
456, 3726, 112171856
464, 3580, 111658378
472, 3115, 104141734
480, 3194, 104097879
488, 3302, 104475951
496, 3485, 112744142
504, 3666, 112051848
512, 2961, 105500547
 


